query,duration
q2-1.sql,72.6931
q2-1.sql,72.5346
q2-1.sql,72.3591
q2-1.sql,72.0175
q2-1.sql,72.0029
q2-2.sql,11.9616
q2-2.sql,11.9365
q2-2.sql,11.9120
q2-2.sql,11.8761
q2-2.sql,11.8834
q2-3.sql,87.5818
q2-3.sql,85.7888
q2-3.sql,86.2114
q2-3.sql,85.9052
q2-3.sql,86.0850
q3-1.sql,65.5505
q3-1.sql,64.2703
q3-1.sql,65.4020
q3-1.sql,65.7183
q3-1.sql,65.0877
q3-2.sql,66.1860
q3-2.sql,65.6576
q3-2.sql,65.6609
q3-2.sql,65.5889
q3-2.sql,65.6180
q3-3.sql,346.9369
q3-3.sql,346.4946
q3-3.sql,345.3353
q3-3.sql,347.1413
q3-3.sql,347.4359
q4-1.sql,75.1979
q4-1.sql,76.0694
q4-1.sql,75.6999
q4-1.sql,75.7851
q4-1.sql,76.7138
q4-2.sql,83.0296
q4-2.sql,83.2308
q4-2.sql,83.0672
q4-2.sql,83.3045
q4-2.sql,83.3300
q4-3.sql,80.8126
q4-3.sql,80.8662
q4-3.sql,80.8926
q4-3.sql,82.2215
q4-3.sql,81.0887
