query,duration
q2-1.sql,79.0721
q2-1.sql,75.0823
q2-1.sql,74.0050
q2-1.sql,74.7159
q2-1.sql,76.2576
q2-2.sql,14.2022
q2-2.sql,13.1871
q2-2.sql,13.9721
q2-2.sql,14.2469
q2-2.sql,13.9248
q2-3.sql,88.4760
q2-3.sql,87.9162
q2-3.sql,88.7295
q2-3.sql,90.6672
q2-3.sql,91.8758
q3-1.sql,71.2131
q3-1.sql,66.9097
q3-1.sql,67.3970
q3-1.sql,70.4307
q3-1.sql,68.6964
q3-2.sql,83.8589
q3-2.sql,73.4484
q3-2.sql,75.6806
q3-2.sql,76.9173
q3-2.sql,75.0446
q3-3.sql,362.4608
q3-3.sql,391.3603
q3-3.sql,399.8654
q3-3.sql,393.4119
q3-3.sql,390.4045
q4-1.sql,81.2679
q4-1.sql,82.5312
q4-1.sql,82.4038
q4-1.sql,82.8876
q4-1.sql,82.5497
q4-2.sql,90.4362
q4-2.sql,90.1861
q4-2.sql,89.1027
q4-2.sql,85.7974
q4-2.sql,90.6771
q4-3.sql,101.4543
q4-3.sql,101.4912
q4-3.sql,101.6652
q4-3.sql,100.4646
q4-3.sql,101.6443
